id,date,open,high,low,close,volume,market_cap,crypto_id
1,2014-09-17,465.864,468.174,452.422,457.334,457,21056800,1
2,2014-09-18,456.86,456.86,413.104,424.44,424,34483200,1
3,2014-09-19,424.103,427.835,384.532,394.796,395,37919700,1
4,2014-09-20,394.673,423.296,389.883,408.904,409,36863600,1
5,2014-09-21,408.085,412.426,393.181,398.821,399,26580100,1
6,2014-09-22,399.1,406.916,397.13,402.152,402,24127600,1
7,2014-09-23,402.092,441.557,396.197,435.791,436,45099500,1
8,2014-09-24,435.751,436.112,421.132,423.205,423,30627700,1
9,2014-09-25,423.156,423.52,409.468,411.574,412,26814400,1
10,2014-09-26,411.429,414.938,400.009,404.425,404,21460800,1
11,2014-09-27,403.556,406.623,397.372,399.52,400,15029300,1
12,2014-09-28,399.471,401.017,374.332,377.181,377,23613300,1
13,2014-09-29,376.928,385.211,372.24,375.467,375,32497700,1
14,2014-09-30,376.088,390.977,373.443,386.944,387,34707300,1
15,2014-10-01,387.427,391.379,380.78,383.615,384,26229400,1
16,2014-10-02,383.988,385.497,372.946,375.072,375,21777700,1
17,2014-10-03,375.181,377.695,357.859,359.512,360,30901200,1
18,2014-10-04,359.892,364.487,325.886,328.866,329,47236500,1
19,2014-10-05,328.916,341.801,289.296,320.51,321,83308096,1
20,2014-10-06,320.389,345.134,302.56,330.079,330,79011800,1
21,2014-10-07,330.584,339.247,320.482,336.187,336,49199900,1
22,2014-10-08,336.116,354.364,327.188,352.94,353,54736300,1
23,2014-10-09,352.748,382.726,347.687,365.026,365,83641104,1
24,2014-10-10,364.687,375.067,352.963,361.562,362,43665700,1
25,2014-10-11,361.362,367.191,355.951,362.299,362,13345200,1
26,2014-10-12,362.606,379.433,356.144,378.549,379,17552800,1
27,2014-10-13,377.921,397.226,368.897,390.414,390,35221400,1
28,2014-10-14,391.692,411.698,391.324,400.87,401,38491500,1
29,2014-10-15,400.955,402.227,388.766,394.773,395,25267100,1
30,2014-10-16,394.518,398.807,373.07,382.556,383,26990000,1
31,2014-10-17,382.756,385.478,375.389,383.758,384,13600700,1
32,2014-10-18,383.976,395.158,378.971,391.442,391,11416800,1
33,2014-10-19,391.254,393.939,386.457,389.546,390,5914570,1
34,2014-10-20,389.231,390.084,378.252,382.845,383,16419000,1
35,2014-10-21,382.421,392.646,380.834,386.475,386,14188900,1
36,2014-10-22,386.118,388.576,382.249,383.158,383,11641300,1
37,2014-10-23,382.962,385.048,356.447,358.417,358,26456900,1
